times, G0G1_phase_absolute_error, S_phase_absolute_error, G2M_phase_absolute_error
0.00000000,0.00000000,0.00000000,0.00000000
30.00000000,0.00064963,0.00491201,0.00556163
60.00000000,0.00355665,0.00938131,0.00712391
90.00000000,0.01322911,0.01443982,0.01173787
120.00000000,0.02502865,0.01732209,0.02065514
150.00000000,0.03567243,0.01911405,0.03309089
180.00000000,0.04407857,0.02010484,0.04248781
210.00000000,0.04653806,0.02067954,0.04552199
240.00000000,0.05032213,0.02420471,0.05283124
270.00000000,0.05104912,0.02808485,0.05598439
300.00000000,0.05427777,0.02897053,0.06009871
330.00000000,0.06024490,0.03757184,0.07466715
360.00000000,0.06103500,0.04426471,0.08215012
390.00000000,0.06233137,0.04496017,0.08414195
420.00000000,0.07313583,0.05311797,0.08678862
450.00000000,0.08032075,0.05744457,0.08964694
480.00000000,0.08295286,0.06117863,0.09074890
510.00000000,0.08883544,0.06549567,0.09231446
540.00000000,0.09027339,0.07232255,0.09770340
570.00000000,0.09479742,0.08024923,0.11015410
600.00000000,0.10470845,0.08728711,0.12710301
630.00000000,0.11037966,0.09691366,0.14240077
660.00000000,0.11946265,0.10556226,0.16013236
690.00000000,0.12243233,0.11364574,0.17118553
720.00000000,0.12278809,0.12254612,0.18044166
750.00000000,0.12519553,0.13206408,0.19236705
780.00000000,0.12980768,0.13807481,0.20298993
810.00000000,0.13211069,0.14696724,0.20957934
840.00000000,0.13551005,0.15362061,0.21963207
870.00000000,0.14297981,0.15879249,0.23227373
900.00000000,0.14775581,0.16420341,0.24246064
930.00000000,0.15498315,0.16975977,0.25524434
960.00000000,0.15927864,0.17551506,0.26529513
990.00000000,0.15992321,0.17799298,0.26841761
1020.00000000,0.16465137,0.18075958,0.27037917
1050.00000000,0.17338328,0.18437615,0.27549452
1080.00000000,0.17929801,0.18549769,0.28253079
1110.00000000,0.18323795,0.18706090,0.28803394
1140.00000000,0.18923353,0.19013095,0.29709956
1170.00000000,0.19238439,0.19497135,0.30509083
1200.00000000,0.19317241,0.20389369,0.31322514
1230.00000000,0.19800977,0.21131861,0.32548743
1260.00000000,0.20801104,0.21602842,0.34019850
1290.00000000,0.21100378,0.22524928,0.34642661
1320.00000000,0.21124545,0.23066737,0.35160304
1350.00000000,0.21172097,0.23856988,0.35903003
1380.00000000,0.21758305,0.24531386,0.35991195
1410.00000000,0.22219536,0.25149018,0.36147596
1440.00000000,0.23037144,0.25671253,0.36442969
1470.00000000,0.23753014,0.25878771,0.36951321
1500.00000000,0.23959527,0.25935065,0.37101540
1530.00000000,0.24341014,0.26003628,0.37551591
1560.00000000,0.24706942,0.26310178,0.38224069
1590.00000000,0.25135950,0.26427109,0.38770008
1620.00000000,0.25439144,0.26532469,0.39178562
1650.00000000,0.25588979,0.27255519,0.39751777
1680.00000000,0.25727404,0.27638824,0.39996657
1710.00000000,0.25946975,0.28168494,0.40306756
1740.00000000,0.26150160,0.28756012,0.40691089
1770.00000000,0.26580208,0.29674728,0.41179757
1800.00000000,0.27041274,0.30452079,0.41496043
1830.00000000,0.27098809,0.30777553,0.41879051
1860.00000000,0.27160633,0.30786550,0.41949872
1890.00000000,0.27422306,0.31221393,0.42123041
1920.00000000,0.27616175,0.31889504,0.42597284
1950.00000000,0.28224426,0.32468730,0.42626308
1980.00000000,0.28535962,0.32672153,0.42734421
2010.00000000,0.28997430,0.33138578,0.42739378
2040.00000000,0.29595857,0.33407503,0.43068880
2070.00000000,0.30006966,0.33506383,0.43381108
2100.00000000,0.30273033,0.33936209,0.43544867
2130.00000000,0.30817765,0.34485079,0.43549006
2160.00000000,0.31182496,0.34832485,0.43566332
2190.00000000,0.31325505,0.35047994,0.43638833
2220.00000000,0.31411821,0.35435413,0.43939935
2250.00000000,0.31621559,0.35900542,0.44195326
2280.00000000,0.31851223,0.36213357,0.44278478
2310.00000000,0.32090512,0.36225791,0.44530200
2340.00000000,0.32349771,0.36370960,0.44934628
2370.00000000,0.32639850,0.36617224,0.44978443
2400.00000000,0.33040794,0.36994200,0.45002411
2430.00000000,0.33309151,0.37321295,0.45061149
2460.00000000,0.33623061,0.37837627,0.45263571
2490.00000000,0.34185884,0.38452795,0.45315915
2520.00000000,0.35064759,0.38937326,0.45710259
2550.00000000,0.35798795,0.39288681,0.46092939
2580.00000000,0.36493708,0.39890917,0.46185616
2610.00000000,0.36724958,0.40009799,0.46297984
2640.00000000,0.37067109,0.40060953,0.46588980
2670.00000000,0.37144412,0.40107551,0.46712881
2700.00000000,0.37294211,0.40147734,0.46822498
2730.00000000,0.37308271,0.40241053,0.46901757
2760.00000000,0.37471278,0.40443179,0.46940876
2790.00000000,0.37924705,0.40604754,0.47232726
2820.00000000,0.38401023,0.40703168,0.47610631
2850.00000000,0.38733435,0.40830392,0.47815819
2880.00000000,0.39294220,0.41229976,0.47977021
2910.00000000,0.39324333,0.41277732,0.48054890
2940.00000000,0.39630774,0.41459948,0.48179116
2970.00000000,0.40070231,0.41859916,0.48218605
3000.00000000,0.40499360,0.42132451,0.48375197
3030.00000000,0.41087878,0.42675472,0.48420695
3060.00000000,0.41779352,0.43203447,0.48584194
3090.00000000,0.42378851,0.43623399,0.48763740
3120.00000000,0.42948411,0.43644081,0.49353982
3150.00000000,0.43502858,0.43744505,0.50008853
3180.00000000,0.44164825,0.43786798,0.50713113
3210.00000000,0.44482872,0.43953461,0.51197824
3240.00000000,0.44766953,0.44053436,0.51581878
3270.00000000,0.44925978,0.44097559,0.51696779
3300.00000000,0.44951980,0.44218733,0.51843956
3330.00000000,0.45082164,0.44606936,0.52362344
3360.00000000,0.45369201,0.44776337,0.52818781
3390.00000000,0.45531823,0.45027297,0.53232364
3420.00000000,0.45745563,0.45591775,0.53583102
3450.00000000,0.46145147,0.46274216,0.53865959
3480.00000000,0.46380324,0.46767499,0.54124065
3510.00000000,0.46971676,0.47521322,0.54286536
3540.00000000,0.47454028,0.48235584,0.54518446
3570.00000000,0.47598929,0.48772987,0.54910948
3600.00000000,0.47761759,0.49287719,0.55262850
