times, Ki67_negative_csse, Ki67_positive_premitotic_csse, Ki67_positive_postmitotic_csse
0.00000000,0.00000000,0.00000000,0.00000000
30.00000000,0.00001136,0.00957142,0.01024213
60.00000000,0.00038384,0.02261295,0.01924806
90.00000000,0.00258245,0.03392909,0.02278689
120.00000000,0.00563754,0.04009788,0.02332832
150.00000000,0.00863233,0.04530181,0.02363156
180.00000000,0.01116568,0.04823650,0.02364631
210.00000000,0.01718882,0.05146845,0.02407723
240.00000000,0.02237968,0.05374949,0.02466710
270.00000000,0.02756205,0.05770661,0.02474961
300.00000000,0.03206838,0.05869867,0.02601926
330.00000000,0.03560830,0.05928993,0.02725699
360.00000000,0.03897444,0.05942924,0.02939286
390.00000000,0.04099285,0.05954099,0.03247286
420.00000000,0.04193354,0.05981167,0.03469346
450.00000000,0.04253501,0.06056116,0.03738723
480.00000000,0.04256972,0.06214350,0.03947296
510.00000000,0.04257042,0.06448975,0.04190128
540.00000000,0.04274068,0.06746779,0.04362545
570.00000000,0.04299796,0.06935450,0.04437600
600.00000000,0.04303691,0.07016687,0.04487156
630.00000000,0.04323555,0.07023527,0.04490547
660.00000000,0.04332031,0.07027396,0.04491439
690.00000000,0.04363371,0.07028722,0.04537000
720.00000000,0.04415703,0.07034459,0.04560416
750.00000000,0.04506393,0.07034528,0.04646154
780.00000000,0.04506661,0.07041098,0.04655643
810.00000000,0.04513494,0.07047547,0.04655648
840.00000000,0.04516348,0.07051804,0.04669732
870.00000000,0.04533361,0.07068799,0.04669732
900.00000000,0.04533464,0.07115191,0.04720600
930.00000000,0.04576799,0.07274707,0.04757167
960.00000000,0.04667112,0.07396167,0.04759470
990.00000000,0.04721233,0.07419734,0.04765731
1020.00000000,0.04781589,0.07465934,0.04766675
1050.00000000,0.04821758,0.07546639,0.04773675
1080.00000000,0.04884441,0.07589753,0.04775500
1110.00000000,0.04906712,0.07625426,0.04777071
1140.00000000,0.04922075,0.07641402,0.04777077
1170.00000000,0.04929376,0.07652011,0.04777385
1200.00000000,0.04930846,0.07652106,0.04778201
1230.00000000,0.04952156,0.07687953,0.04780081
1260.00000000,0.04973761,0.07688106,0.04798204
1290.00000000,0.04973925,0.07695495,0.04803559
1320.00000000,0.04974694,0.07697167,0.04808268
1350.00000000,0.04976446,0.07700121,0.04817525
1380.00000000,0.04983758,0.07701512,0.04832604
1410.00000000,0.04983965,0.07703921,0.04833807
1440.00000000,0.04991515,0.07704268,0.04838469
1470.00000000,0.04994163,0.07704515,0.04842983
1500.00000000,0.05009343,0.07705338,0.04851915
1530.00000000,0.05012585,0.07705457,0.04854034
1560.00000000,0.05012735,0.07708163,0.04855617
1590.00000000,0.05014097,0.07719403,0.04860394
1620.00000000,0.05018063,0.07748377,0.04871894
1650.00000000,0.05022690,0.07788809,0.04889598
1680.00000000,0.05023037,0.07801579,0.04898505
1710.00000000,0.05042549,0.07836123,0.04900637
1740.00000000,0.05065861,0.07935290,0.04926954
1770.00000000,0.05082171,0.07972184,0.04931097
1800.00000000,0.05129485,0.08007874,0.04931915
1830.00000000,0.05145833,0.08014847,0.04933883
1860.00000000,0.05162948,0.08023534,0.04935298
1890.00000000,0.05177524,0.08024098,0.04956171
1920.00000000,0.05243010,0.08026196,0.05000313
1950.00000000,0.05322879,0.08027046,0.05064552
1980.00000000,0.05370969,0.08029165,0.05134948
2010.00000000,0.05375859,0.08031232,0.05148266
2040.00000000,0.05386660,0.08034474,0.05174145
2070.00000000,0.05392881,0.08034489,0.05180982
2100.00000000,0.05400434,0.08035880,0.05183443
2130.00000000,0.05406147,0.08043333,0.05209658
2160.00000000,0.05407538,0.08052266,0.05227034
2190.00000000,0.05432586,0.08060709,0.05289609
2220.00000000,0.05451097,0.08069638,0.05342760
2250.00000000,0.05464437,0.08082466,0.05395094
2280.00000000,0.05470456,0.08108188,0.05451720
2310.00000000,0.05470938,0.08113260,0.05460400
2340.00000000,0.05472552,0.08113267,0.05461814
2370.00000000,0.05473291,0.08113452,0.05463478
2400.00000000,0.05477380,0.08119271,0.05483142
2430.00000000,0.05478167,0.08122700,0.05490643
2460.00000000,0.05478490,0.08125542,0.05491891
2490.00000000,0.05478887,0.08129052,0.05493437
2520.00000000,0.05480724,0.08129072,0.05494910
2550.00000000,0.05481923,0.08143542,0.05518908
2580.00000000,0.05485005,0.08178338,0.05577498
2610.00000000,0.05492644,0.08191651,0.05618618
2640.00000000,0.05493694,0.08194021,0.05625194
2670.00000000,0.05500151,0.08194258,0.05634358
2700.00000000,0.05504100,0.08195021,0.05642545
2730.00000000,0.05505844,0.08195235,0.05645722
2760.00000000,0.05507953,0.08195333,0.05648837
2790.00000000,0.05508084,0.08197207,0.05651836
2820.00000000,0.05509385,0.08201371,0.05661955
2850.00000000,0.05510708,0.08228579,0.05678486
2880.00000000,0.05512369,0.08241142,0.05683574
2910.00000000,0.05513574,0.08255782,0.05691018
2940.00000000,0.05514041,0.08267087,0.05698196
2970.00000000,0.05522267,0.08276562,0.05698240
3000.00000000,0.05526135,0.08277788,0.05698979
3030.00000000,0.05532817,0.08278636,0.05701748
3060.00000000,0.05547306,0.08290888,0.05701841
3090.00000000,0.05563942,0.08299729,0.05703063
3120.00000000,0.05587995,0.08301008,0.05717301
3150.00000000,0.05598471,0.08301072,0.05726212
3180.00000000,0.05598535,0.08304666,0.05728914
3210.00000000,0.05598856,0.08313080,0.05740933
3240.00000000,0.05598916,0.08318203,0.05745006
3270.00000000,0.05600000,0.08324600,0.05757755
3300.00000000,0.05602970,0.08340079,0.05789766
3330.00000000,0.05603740,0.08359208,0.05801990
3360.00000000,0.05603850,0.08399630,0.05838316
3390.00000000,0.05603870,0.08437450,0.05874403
3420.00000000,0.05609953,0.08476739,0.05888856
3450.00000000,0.05619412,0.08495419,0.05890409
3480.00000000,0.05630777,0.08508383,0.05890462
3510.00000000,0.05649308,0.08527621,0.05890469
3540.00000000,0.05666917,0.08537585,0.05891550
3570.00000000,0.05670140,0.08537605,0.05895311
3600.00000000,0.05670211,0.08544440,0.05903614
