times, G0G1_phase_mean, S_phase_mean, G2M_phase_mean, apoptotic_mean, necrotic_mean
0.0,100.0,0.0,0.0,0.0,0.0
30.0,89.1,10.4,0.2,0.3,0.0
60.0,81.6,16.8,1.2,0.5,0.0
90.0,74.3,22.7,2.6,0.8,0.0
120.0,66.1,29.2,4.2,1.0,0.0
150.0,60.7,33.0,5.8,1.2,0.0
180.0,56.1,36.8,7.3,1.3,0.0
210.0,52.5,40.0,8.3,1.6,0.0
240.0,49.7,41.8,10.2,1.8,0.0
270.0,47.4,43.6,11.4,2.3,0.0
300.0,44.7,46.0,12.8,2.5,0.0
330.0,43.5,46.5,14.4,2.8,0.0
360.0,42.7,47.3,15.8,2.9,0.0
390.0,40.9,48.6,17.5,2.9,0.0
420.0,40.8,49.1,18.8,2.9,0.0
450.0,41.0,50.9,18.8,3.0,0.0
480.0,39.0,52.0,20.6,3.4,0.0
510.0,38.7,51.4,23.0,3.4,0.0
540.0,42.8,50.9,22.9,3.3,0.0
570.0,43.7,52.5,23.0,3.2,0.0
600.0,45.8,53.5,23.0,3.1,0.0
630.0,46.3,54.7,23.6,3.1,0.0
660.0,46.8,54.7,24.8,3.1,0.0
690.0,49.6,54.4,25.5,3.1,0.0
720.0,49.5,56.0,26.6,2.9,0.0
750.0,51.2,57.8,26.1,2.9,0.0
780.0,51.8,58.8,26.9,2.5,0.0
810.0,53.0,58.0,28.9,2.1,0.0
840.0,55.4,59.1,29.1,1.8,0.0
870.0,57.6,61.0,29.0,1.9,0.0
900.0,58.2,62.1,30.2,2.0,0.0
930.0,58.3,63.3,31.2,2.3,0.0
960.0,57.9,64.3,32.6,2.8,0.0
990.0,58.5,64.8,34.4,2.7,0.0
1020.0,59.8,68.0,34.0,2.7,0.0
1050.0,59.9,69.9,35.4,2.7,0.0
1080.0,58.7,71.7,36.8,3.1,0.0
1110.0,58.0,73.0,38.5,3.5,0.0
1140.0,62.7,73.8,37.7,3.2,0.0
1170.0,64.4,73.4,39.8,3.2,0.0
1200.0,66.2,74.7,40.6,3.1,0.0
1230.0,67.4,76.2,41.7,3.2,0.0
1260.0,68.0,77.7,43.2,3.2,0.0
1290.0,71.5,78.7,43.2,3.6,0.0
1320.0,74.2,79.9,43.5,4.0,0.0
1350.0,73.1,83.1,44.8,4.1,0.0
1380.0,75.7,85.9,44.1,4.3,0.0
1410.0,77.4,88.6,44.1,4.7,0.0
1440.0,82.2,88.8,44.3,5.0,0.0
1470.0,81.2,91.4,46.7,4.9,0.0
1500.0,83.3,92.8,48.1,4.8,0.0
1530.0,84.8,93.8,50.3,4.7,0.0
1560.0,87.0,93.9,52.0,4.8,0.0
1590.0,89.8,95.9,52.7,4.6,0.0
1620.0,92.3,98.4,52.7,4.5,0.0
1650.0,93.5,101.1,53.7,4.8,0.0
1680.0,94.9,104.1,54.0,5.1,0.0
1710.0,94.2,107.5,55.7,5.0,0.0
1740.0,94.0,110.9,56.6,5.0,0.0
1770.0,97.9,112.9,57.1,5.1,0.0
1800.0,99.6,116.7,57.1,5.4,0.0
1830.0,104.3,116.7,58.5,5.4,0.0
1860.0,103.4,120.4,59.9,5.3,0.0
1890.0,104.4,123.7,61.5,5.1,0.0
1920.0,104.2,124.8,65.8,5.5,0.0
1950.0,108.5,127.1,66.2,5.2,0.0
1980.0,107.5,131.7,68.0,5.0,0.0
2010.0,110.6,135.0,67.8,5.2,0.0
2040.0,110.9,139.5,69.2,5.4,0.0
2070.0,112.6,140.6,72.7,5.2,0.0
2100.0,112.5,142.4,76.1,5.5,0.0
2130.0,116.5,142.9,78.1,5.6,0.0
2160.0,120.9,144.3,79.2,6.4,0.0
2190.0,128.0,147.1,77.9,6.6,0.0
2220.0,130.2,148.5,80.0,7.6,0.0
2250.0,134.8,147.8,83.5,8.1,0.0
2280.0,135.7,154.4,82.8,8.4,0.0
2310.0,140.1,157.9,84.2,8.0,0.0
2340.0,143.7,162.4,83.8,8.3,0.0
2370.0,147.7,165.9,84.8,8.8,0.0
2400.0,147.0,170.3,88.2,9.0,0.0
2430.0,150.3,175.3,88.9,8.5,0.0
2460.0,152.9,178.9,90.2,9.2,0.0
2490.0,153.7,183.2,92.7,10.0,0.0
2520.0,158.9,186.3,93.6,10.5,0.0
2550.0,161.0,189.6,96.9,11.0,0.0
2580.0,166.5,192.6,97.9,12.2,0.0
2610.0,169.5,197.3,99.3,12.6,0.0
2640.0,171.3,202.8,100.4,13.3,0.0
2670.0,177.3,205.4,101.9,12.8,0.0
2700.0,181.6,208.2,104.1,13.2,0.0
2730.0,186.8,212.7,104.6,13.2,0.0
2760.0,189.3,216.7,108.4,12.8,0.0
2790.0,194.1,219.4,111.6,13.1,0.0
2820.0,198.8,222.6,114.5,13.8,0.0
2850.0,201.4,228.0,116.7,13.6,0.0
2880.0,210.8,231.8,117.3,13.2,0.0
2910.0,211.0,237.1,121.0,13.7,0.0
2940.0,214.6,240.7,123.9,14.3,0.0
2970.0,221.8,246.5,123.7,14.1,0.0
3000.0,226.6,252.6,125.2,14.1,0.0
3030.0,229.1,260.1,127.8,13.9,0.0
3060.0,235.9,263.0,130.7,13.7,0.0
3090.0,238.5,269.5,132.9,14.3,0.0
3120.0,241.4,274.1,137.3,14.5,0.0
3150.0,246.6,279.1,139.4,14.3,0.0
3180.0,251.1,285.0,142.1,14.6,0.0
3210.0,260.5,286.1,146.8,14.1,0.0
3240.0,264.1,291.5,150.5,14.6,0.0
3270.0,262.7,299.6,155.5,15.5,0.0
3300.0,269.3,306.2,157.4,15.3,0.0
3330.0,275.3,314.7,158.8,15.6,0.0
3360.0,279.4,319.2,164.4,16.2,0.0
3390.0,282.5,327.1,167.4,17.8,0.0
3420.0,293.8,331.5,168.8,17.9,0.0
3450.0,297.9,341.1,170.5,19.3,0.0
3480.0,302.4,347.5,174.3,20.3,0.0
3510.0,301.6,358.4,178.7,20.9,0.0
3540.0,313.5,363.9,180.0,21.3,0.0
3570.0,316.2,372.6,183.9,21.8,0.0
3600.0,323.9,379.3,187.2,21.2,0.0
